treat,debt,lopen,lrer,bndvol,gdpgvol,pivol,spreadvol
0,46.1,121,92.1,0.5,1.1,1,0.6
0,47.1,114.7,95.2,0.5,1.1,1,0.1
0,48.3,112.7,100.9,0.4,1,0.4,0.1
0,48.8,119.1,101.8,0.4,0.8,0.3,0.1
0,48.3,124.6,101,0.5,0.8,0.3,0.2
0,42.7,129.8,99.9,0.3,1.1,0.7,0.5
0,40.2,131.7,100.6,0.3,3.9,0.6,2.2
1,52.9,134.7,101.8,0.6,3.1,0.7,1.8
1,55.2,119,103.8,0.4,3.1,0.6,1
1,58.8,135.5,100,0.6,1.5,0.6,0.8
1,62.9,146.2,99.6,0.6,1.4,0.1,0.6
1,68.5,154.3,96.9,0.3,1.3,0.9,0.9
1,68.3,153.3,99.9,0.6,1.1,1,0.6
1,73.4,154.3,99.9,0.6,0.3,0.3,0.3
1,70.6,154.1,95.8,0.6,0.3,0.3,0.3
1,45,63.3,92.8,0.4,1.1,0.9,1.1
1,45,63.3,92.8,0.4,1.1,0.9,1.1
1,42.7,67.4,90.4,0.3,1.5,0.7,1
1,60.9,65.1,92.6,0.5,1.4,0.6,0.5
1,7.2,62.2,94.8,0.5,1.4,0.6,0.1
1,35.3,60.4,99,0.4,1.4,0.5,0.1
1,52.5,62.8,100.1,0.4,0.5,0.2,0.1
1,7.6,62.6,100.1,0.5,0.9,0.3,0.1
1,92.7,68.1,100.5,0.3,1.2,0.1,0.4
1,51,69.7,101.9,0.2,2.7,2,2
1,41.6,72,102.7,0.6,2.5,1.7,1.6
1,58.5,61.1,102.2,3.2,2.5,2.2,4.5
1,100.2,67.3,100,2.9,3,1.1,4
1,102.4,72.9,100.9,2.4,1.5,1.7,1.6
1,133.9,75.9,99.5,3.4,2.5,1.6,2.3
1,138,78,99.6,2,1.4,0.4,0.8
1,127,80,98.5,0.7,0.7,0.5,0.6
0,47,80.4,95.9,0.7,0.7,0.5,0.6
0,55.3,54.7,87.7,0.4,0.7,0.1,1.2
0,55.3,54.7,87.7,0.4,0.7,0.1,1.2
0,52.9,60.2,85.6,0.3,1.2,0.3,1
0,48.9,58.1,87.2,0.5,0.6,0.3,0.5
0,47.9,55,89.2,0.5,0.2,0,0.1
0,44,53.1,93.5,0.4,0.3,0.2,0.1
0,43.2,54.2,95.5,0.4,0.5,0.2,0.1
0,40.5,54.3,96.5,0.5,0.2,0.4,0.2
0,35.9,55.7,97.9,0.3,1.7,0.6,0.5
1,32.1,57.4,99.6,0.2,3.7,2.2,2
1,37.2,55.8,102.3,0.2,2.5,2.1,1.6
1,50.8,46.5,102.5,0.8,1.8,1.7,2.1
1,53.6,52.3,100,0.8,1.5,0.7,1.9
1,61.8,58.1,100.6,0.7,1,0.9,0.6
1,83.7,59.9,98.4,1.6,2.2,1.3,0.4
1,99.4,61.2,100.1,1.4,2.5,1,0.4
1,111.7,62.9,98.8,0.7,1.4,0.2,0.2
1,104.8,63.9,94.1,0.7,1.4,0.2,0.2
0,7,91,67.1,1.8,5.9,1.6,3.1
0,7,91,67.1,1.8,5.9,1.6,3.1
0,25.3,78.3,69.1,0.4,0.9,2.1,1
0,48.5,79.4,72.4,0.2,0.9,2.6,0.8
0,19.3,75.5,75.7,0.7,0.7,2.2,0.5
0,29.5,79.3,78.6,1.3,1.1,2.1,0.9
0,29.5,93.3,82.5,0.8,0.4,1.1,0.4
0,14.2,99.9,82.6,0.3,0.5,1.6,0.3
0,19.3,111.3,86.3,0.6,1,2.4,0.2
0,17.5,122.6,91.3,1.4,6.4,4.5,0.5
0,43.1,124.3,99.8,0.9,4.9,5.2,0.6
0,7.2,93.1,104.1,0.9,3.1,0.9,0.5
0,21.3,103.2,100,0.8,1.1,0.9,0.5
0,20.4,117.8,102.7,0.9,0.9,1.6,0.1
0,23,124.8,100.7,0.6,0.7,2.2,0.6
0,24.1,129.7,102,0.5,1.5,1.2,0.8
0,7,131,101.4,0.6,1.2,0.7,0.3
0,42.3,128.1,98.2,0.6,1.2,0.7,0.3
0,30.5,67,86.9,0.9,2.6,0.5,2.4
0,30.5,67,86.9,0.9,2.6,0.5,2.4
0,6.2,76.1,86.5,0.3,1,1.5,1
0,30.5,80.8,89.8,0.9,1.1,1.2,0.4
0,36.3,83.2,90.7,1.8,0.8,0.2,1.9
0,14.8,85.2,91.2,1.8,0.8,0.8,1.9
0,25.3,84.9,92.9,1.4,0.4,0.7,1.2
0,114.2,84.7,94.4,0.7,0.5,0.2,1.1
0,17.5,86.1,96.3,2.2,1.7,1.7,1.6
0,7,85.3,97,2.1,6.5,1.9,1.6
0,28.1,85,101.5,2,4.8,2.5,2.6
0,20.9,72.8,102.6,2.2,3.8,0.7,1.2
